Method Data,,,,,,
Method name,Panopea,,,,,
1.3,459,244.5,21.7,0.005,18.49,1.27
1.32,463,244.9,21.7,0.0045,18.01,1.26
1.34,468,245.3,21.7,0.0045,17.98,1.25
1.36,472,245.6,21.7,0.0055,18.02,1.26
1.38,476,246,21.7,0.0055,17.79,1.25
1.4,480,246.3,21.7,0.005,16.7,1.22
1.42,485,246.7,21.7,0.0045,16.5,1.22
1.44,489,247,21.7,0.0055,16.5,1.22
1.46,493,247.3,21.7,0.0055,16.22,1.21
1.48,497,247.6,21.7,0.0055,16.28,1.21
1.5,501,248,21.7,0.0055,16,1.2
1.52,505,248.3,21.7,0.0055,16,1.2
1.54,509,248.6,21.7,0.0055,15.51,1.19
1.56,513,248.9,21.7,0.005,14.99,1.18
1.58,517,249.2,21.7,0.005,14.71,1.17
1.6,521,249.5,21.7,0.0045,15,1.18
1.62,525,249.8,21.7,0.005,15,1.18
1.64,529,250.1,21.7,0.005,15,1.18
1.66,533,250.4,21.7,0.0045,15.29,1.18
1.68,538,250.7,21.7,0.004,15.01,1.18
1.7,542,251,21.7,0.005,14.49,1.16
1.72,546,251.3,21.7,0.005,,
1.74,550,251.6,21.7,0.0045,,
1.76,554,251.8,21.7,0.005,,
1.78,558,252.1,21.7,0.005,,
1.8,562,252.4,21.7,0.005,,
Scope 1/1, Sample 4/6 (20201009_pdam1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-58.3,21.7,,,
0.04,3,-60.3,21.7,0.012,,
0.08,8,-59.9,21.7,0.0085,,
0.12,13,-58.6,21.7,0.008,,
0.16,21,-55.8,21.7,0.005,,
0.2,34,-51,21.7,0.003,,
0.24,52,-44.4,21.7,0.002,,
0.28,75,-35.4,21.7,0.0015,,
0.32,100,-24.7,21.7,0.0015,,
0.36,119,-15,21.7,0.002,,
0.4,134,-7.1,21.7,0.0025,,
0.44,146,-1.1,21.7,0.0035,,
0.48,155,3.3,21.7,0.0045,,
0.52,167,7.5,21.7,0.0035,,
0.56,176,11.6,21.7,0.0045,,
0.6,188,15.8,21.7,0.0035,,
0.64,198,19.6,21.7,0.004,,
0.68,209,23.7,21.7,0.0035,,
0.72,220,27.5,21.7,0.0035,,
0.76,230,31,21.7,0.004,,
0.8,240,34.4,21.7,0.004,,
0.84,250,37.8,21.7,0.004,,
0.88,258,40.7,21.7,0.005,,
0.92,264,43.6,21.7,0.006,,
0.96,275,46.9,21.7,0.004,,
1,284,49.7,21.7,0.0045,,
1.04,292,52.5,21.7,0.005,,
1.08,300,55.1,21.7,0.005,,
1.12,304,57.6,21.7,0.011,,
1.16,314,60.7,21.7,0.004,,
1.2,322,63.5,21.7,0.0045,,
1.24,326,66.2,21.7,0.0095,,
1.28,335,69.2,21.7,0.0045,,
1.32,343,72.3,21.7,0.005,,
1.36,350,75.4,21.7,0.0055,,
1.4,359,79.1,21.7,0.0045,,
1.44,368,82.9,21.7,0.0045,,
1.48,377,87.3,21.7,0.0045,,
1.52,386,92.1,21.7,0.0045,,
1.56,390,97,21.7,0.0095,,
1.6,400,104.2,21.7,0.004,,
1.64,410,112.6,21.7,0.004,,
1.68,416,122.5,21.7,0.0075,,
1.72,426,137.8,21.7,0.004,,
1.76,436,154,21.7,0.004,,
1.8,445,167.6,21.7,0.0045,,
Scope 1/1, Sample 5/6 (20201009_pdam2),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-59.5,21.7,,,
0.04,3,-61.3,21.7,0.012,,
0.08,8,-60.8,21.7,0.008,,
0.12,14,-59.3,21.7,0.007,,
0.16,23,-56.3,21.7,0.0045,,
0.2,36,-51.6,21.7,0.003,,
0.24,53,-45.1,21.7,0.0025,,
0.28,76,-36,21.7,0.0015,,
0.32,100,-25.4,21.7,0.0015,,
0.36,119,-15.7,21.7,0.002,,
0.4,135,-7.8,21.7,0.0025,,
0.44,147,-1.8,21.7,0.0035,,
0.48,160,3.1,21.7,0.003,,
0.52,171,6.8,21.7,0.004,,
0.56,183,10.9,21.7,0.0035,,
0.6,194,14.9,21.7,0.004,,
0.64,204,19,21.7,0.004,,
0.68,216,22.9,21.7,0.0035,,
0.72,226,26.5,21.7,0.004,,
0.76,229,31.5,21.7,0.012,,
0.8,233,33.7,21.7,0.0105,,
0.84,242,36.4,21.7,0.0045,,
0.88,247,39,21.7,0.0085,,
0.92,251,41.4,21.7,0.0105,,
0.96,254,44,21.7,0.0115,,
1,268,48.4,21.7,0.003,,
1.04,276,51.3,21.7,0.005,,
1.08,285,54.3,21.7,0.0045,,
1.12,294,57.2,21.7,0.0045,,
1.16,303,60.1,21.7,0.0045,,
1.2,307,62.2,21.7,0.0105,,
1.24,317,65.9,21.7,0.004,,
1.28,327,69,21.7,0.004,,
1.32,331,71.6,21.7,0.0105,,
1.36,334,74.3,21.7,0.0115,,
1.4,338,77.5,21.7,0.0095,,
1.44,350,82.6,21.7,0.0035,,
1.48,354,86.4,21.7,0.0095,,
1.52,359,90.6,21.7,0.0085,,
1.56,370,98,21.7,0.0035,,
1.6,381,105.4,21.7,0.0035,,
1.64,385,113.7,21.7,0.009,,
1.68,398,126.6,21.7,0.003,,
1.72,409,141.9,21.7,0.0035,,
1.76,420,158,21.7,0.004,,
1.8,429,170.7,21.7,0.0045,,
Scope 1/1, Sample 6/6 (20201009_pdam3),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-58.3,21.7,,,
0.04,3,-60.4,21.7,0.012,,
0.08,8,-59.9,21.7,0.0085,,
0.12,13,-58.6,21.7,0.0075,,
0.16,21,-56.1,21.7,0.0055,,
0.2,33,-51.8,21.7,0.0035,,
0.24,50,-45.2,21.7,0.0025,,
0.28,73,-36.3,21.7,0.0015,,
0.32,98,-26,21.7,0.0015,,
0.36,118,-15.8,21.7,0.002,,
0.4,134,-8.1,21.7,0.0025,,
0.44,145,-2.1,21.7,0.0035,,
0.48,158,2.8,21.7,0.003,,
0.52,169,6.4,21.7,0.0035,,
0.56,179,10.4,21.7,0.004,,
0.6,190,14.4,21.7,0.0035,,
0.64,200,18.3,21.7,0.004,,
0.68,213,22.7,21.7,0.003,,
0.72,223,26.2,21.7,0.004,,
0.76,234,30,21.7,0.0035,,
0.8,243,33.2,21.7,0.0045,,
0.84,253,36.5,21.7,0.004,,
0.88,257,38.8,21.7,0.009,,
0.92,268,42.4,21.7,0.0035,,
0.96,278,45.5,21.7,0.004,,
1,288,48.4,21.7,0.004,,
1.04,291,50.7,21.7,0.012,,
1.08,301,53.7,21.7,0.004,,
1.12,311,56.7,21.7,0.004,,
1.16,318,59.4,21.7,0.0055,,
1.2,327,62.1,21.7,0.0045,,
1.24,330,65,21.7,0.012,,
1.28,339,67.9,21.7,0.0045,,
1.32,347,71,21.7,0.005,,
1.36,357,74.4,21.7,0.004,,
1.4,366,78,21.7,0.0045,,
1.44,374,81.8,21.7,0.005,,
1.48,384,86.2,21.7,0.004,,
1.52,388,91.2,21.7,0.0105,,
1.56,397,96.3,21.7,0.0045,,
1.6,407,103,21.7,0.004,,
1.64,417,111.3,21.7,0.004,,
1.68,428,122.6,21.7,0.0035,,
1.72,439,136.7,21.7,0.0035,,
1.76,450,153.1,21.7,0.004,,
1.8,459,166.9,21.7,0.0045,,

